RowNames	LILT_GF06_16	LILT_GF12_16	LILT_GF15_16	LILT_GF16_T017	LILT_GF17_16	LILT_GF18_T016	LILT_VF00TL_16	LILT_VF02_T016	LILT_VF04_16	LILT_VF06_16	LILT_VF07_16	LILT_VF10_T016	LILT_VF100_T016	LILT_VF102_T017	LILT_VF107_16	LILT_VF114_T017	LILT_VF120_16	LILT_VF140_T016	LILT_VF145_T017	LILT_VF154_T017	LILT_VF166_T017	LILT_VF170_T016	LILT_VF171_T016	LILT_VF172_T017	LILT_VF174_T017	LILT_VF176_T017	LILT_VF18_T016	LILT_VF189_T016	LILT_VF192_T017	LILT_VF197_T017	LILT_VF206_T016	LILT_VF207_T017	LILT_VF208_T017	LILT_VF212_T016	LILT_VF214_T016	LILT_VF216_T017	LILT_VF217_T017	LILT_VF232_T017	LILT_VF234_T017	LILT_VF251_T017	LILT_VF255_T016	LILT_VF259_T016	LILT_VF261_T016	LILT_VF262_T016	LILT_VF263_T016	LILT_VF264_T017	LILT_VF265_T016	LILT_VF270_T017	LILT_VF273_T017	LILT_VF279_T016	LILT_VF28_T016	LILT_VF281_T017	LILT_VF29_16	LILT_VF30_16	LILT_VF300_T016	LILT_VF301_T016	LILT_VF31_16	LILT_VF32_T016	LILT_VF35_16	LILT_VF37_16	LILT_VF38_16	LILT_VF40_16	LILT_VF43_16	LILT_VF47_16	LILT_VF50_16	LILT_VF55_T017	LILT_VF56_16	LILT_VF60_T016	LILT_VF65_16	LILT_VF66_T017	LILT_VF69_16	LILT_VF70_16	LILT_VF71_16	LILT_VF73_16	LILT_VF77_16	LILT_VF82_T016	LILT_VF84_16	LILT_VF90_16	LILT_VF95_16	LILT_VF97_16
Pseudoflavonifractor capillosus	66142	0	0	0	0	0	0	0	0	0	0	0	95734	0	0	13568	0	0	34105	0	0	13783	0	0	25507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9722	0	0	0	0	5615	0	8225	0	0	0	0	0	0	2494	0	0	0	0	9265	0	0	8567	0	3082	0	0	0	0	0	0	0	0	0	0	0	0	396	0	0	0
Harryflintia acetispora	52789	0	0	0	7809	24506	0	0	0	0	0	0	16659	0	0	0	0	0	10228	0	0	0	0	0	0	0	0	88811	0	7096	0	0	0	0	0	0	0	0	9956	0	0	0	0	0	0	0	0	0	0	0	22059	0	4611	0	0	0	4412	0	0	7128	0	0	0	0	9033	101832	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Intestinimonas butyriciproducens	37956	6810434	3161936	53419	2393569	0	0	1978	0	0	41756	0	26729	6869	18822	0	43445	0	151979	0	0	63952	0	0	405648	19340	11272	80891	38190	336591	62702	297015	0	0	0	0	0	72658	672083	68992	0	24168	27035	0	267	452282	16929	0	160284	54115	968623	0	474726	628473	0	0	38932	0	17802	387991	0	95517	0	0	387465	9838	0	29919	535533	0	0	0	0	16258	9753	32344	10568	0	38613	0
Adlercreutzia caecimuris	26554	0	0	0	1485	6383	0	0	4576	7412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1202	0	0	0	0	0	0	0	0	0	0	0	3175	0	0	0	0	1397	7864	0	0	0	0	0	8582	0	885	4893	939	0	0	0	0	350793	0	0	0	10675	0	12554	0	0	0	376	0	0	0	0	0	0	0	0	0	0
Ruminococcus bicirculans	26050	0	2528	543262	76322	0	60027	0	48494	0	0	0	2195547	0	0	129397	0	0	0	0	0	0	432928	0	343461	0	0	907925	34692	518774	0	0	0	80554	0	0	0	0	10177	156031	107970	0	0	19122	7486	0	104086	6250	0	0	998387	0	701700	138994	0	0	375006	0	6794	0	352791	2834298	164901	5713	0	0	0	0	0	0	326274	995529	0	90433	0	0	0	0	0	0
Citrobacter freundii	25428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25848	0	0	0	0	0	0	0	74359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterocloster clostridioformis	23409	199931	0	0	0	504	0	0	0	82568	0	0	0	0	54481	114233	0	0	20548	0	578096	0	1180059	0	0	0	0	0	0	0	1072294	0	0	0	0	0	0	0	9394	0	0	0	24190	0	0	0	0	0	0	1252576	0	0	0	58691	0	0	0	0	0	0	0	0	0	0	12633	37043	0	0	0	40744	0	0	192670	0	0	0	0	270520	0	0
Sellimonas intestinalis	18902	0	0	0	0	157405	0	0	0	0	0	0	0	0	0	13540	0	0	0	0	0	0	8732	0	0	0	0	0	32458	0	61773	23491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6024	0	0	0	730654	0	0	0	0	0	0	0
Enterocloster aldenensis	17877	0	0	0	0	0	0	0	6137	0	0	0	0	0	0	1782	0	0	0	0	1578	0	27377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1307	0	0	0	384	0	0	0	0	0	0	5203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4797	0	0	0	7001	0	0	0	0	0	0	0	0	0	0
[Clostridium] innocuum	17069	878	0	0	0	0	0	0	1079	0	0	0	0	0	7795	0	0	0	0	0	0	0	32347	0	0	0	0	0	0	0	0	0	0	0	0	0	21289	0	19217	0	0	2694	0	0	0	0	0	0	0	0	0	3164	0	4022	0	0	0	0	0	118800	0	0	0	0	0	0	5521	0	0	0	0	0	8522	0	0	0	0	30735	0	0
Fusicatenibacter saccharivorans	16548	28456	71801	96777	841657	675321	1316182	58397	607762	34472	46304	0	1747249	129430	54873	1591449	613228	415475	69486	0	0	311890	0	53061	280430	134195	192933	850234	361550	131720	234346	7050692	0	600340	0	0	0	31251	1351269	545971	418256	0	148447	7143381	6006186	950033	659979	211539	0	0	4179742	0	2028216	2074045	2171378	786405	1031431	161274	876317	358614	1556642	2917347	16574	331067	5005	0	0	206943	40708	679511	655015	0	164071	4187853	750449	6830	121517	1761374	901	863752
[Ruminococcus] gnavus	10864	8014	0	0	0	237	0	0	11116	4332	0	0	0	0	7255	34642	0	0	1068	0	26151	0	250342	0	0	2089	230017	0	0	0	6830184	0	0	0	0	0	0	0	551870	0	12646	255347	0	119894	110750	2610	0	13304	0	0	97367	420875	32140	5824	0	0	0	0	0	0	0	0	0	1980253	0	0	5433556	0	0	39991	0	5562	464614	0	0	0	0	2042925	384676	495211
Adlercreutzia equolifaciens	16128	0	0	0	325706	1986	28182	0	663	526891	3573	0	0	0	0	0	86472	20968	0	0	0	61487	0	8881	17917	17111	11272	19448	0	0	0	0	0	56629	0	0	0	0	157947	9886	3718	0	0	101680	390314	0	0	0	0	0	441072	0	159914	201598	107735	27389	0	10563	23721	24599	12639	68093	0	600864	0	523600	0	31929	316	129983	43364	0	0	135362	0	0	14669	0	0	0
Lachnospira eligens	7786	0	4654215	200792	7863	0	417650	36645	145066	1136391	29002	218528	933731	11308	0	0	3976	201617	73808	0	0	2923233	5177775	0	0	470323	0	236095	574370	45114	26592239	0	0	413539	0	0	0	0	1749	60716	621436	0	75138	263067	204467	28421	237602	166024	0	0	353582	0	448082	0	4594	0	330836	24061	3307	58812	194012	3926179	0	0	0	0	0	645099	67072	0	243576	674457	0	13945	8524	0	227824	0	0	0
Bifidobacterium dentium	7635	28276	0	0	0	17510	2141887	0	555459	182171	54941	0	42129	0	22420	230681	0	0	0	0	0	0	366863	0	12691	0	0	16957	9948	0	1351	0	0	0	150526	6225	115877	0	0	0	45707	0	0	9710	19942	0	0	0	1429	0	0	0	0	0	749366	168176	0	0	0	0	80495	0	0	0	0	0	0	0	0	0	91959	0	0	0	33512	0	2648	0	0	0
Fructilactobacillus sanfranciscensis	7450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes inops	6424	0	0	0	18882571	0	1230762	0	0	0	100088	2093834	0	0	0	0	1088804	0	0	0	0	479370	0	0	0	0	0	310599	3105384	552925	0	0	0	628142	0	0	0	79134	0	0	0	0	0	0	0	4697668	0	0	0	0	0	0	0	0	108999	5910	1770	0	153089	8245	1560070	5511752	0	52233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199539	0
Ruminococcaceae bacterium D16	5819	0	0	0	335713	50306	0	0	0	0	0	0	0	0	0	0	0	0	859	0	0	0	0	40193	258	45284	0	0	0	0	0	37178	0	0	0	0	0	7972	12784	0	0	0	0	549	267	84311	14896	6883	0	0	2349	0	0	0	0	0	0	4412	0	101481	6850	12389	0	441277	19753	0	0	71126	17915	0	0	0	0	0	0	0	30328	0	0	0
Agathobaculum butyriciproducens	5129	178986	884996	11298	97344	637896	1624955	3723	1183750	415558	85780	19359	282528	1078054	543769	53439	250519	2446	226429	0	10974	138306	0	133529	379367	26220	18598	2762288	0	190923	463865	490328	0	609999	0	0	0	1472	151924	130960	299654	0	7856	709105	1076185	108884	94722	235855	0	0	1609653	123220	712003	1495790	119605	13515	350606	96052	71728	46734	195467	228052	7624	577725	292746	64553	38283	39415	9135	161553	190393	59346	0	445038	117585	15031	85597	0	40345	293023
Blautia producta	3784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5015	0	0	0	0	0	0	0	0	0	0
Pyramidobacter sp. C12-8	3414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19547	0	0	0	0	839246	0	537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10151	0	0	0	0	5363	0	0	0	0	0	0	0	0	0	0	0	0	0	50369	0	0	0	0	0	0	0	0	0	0	0
Bacteroides uniformis	3330	80267571	381914	8107478	2710115	153111	10384946	2664	0	28290493	235784	2165896	7369481	9668847	465997	0	1265786	29054	15494398	265	868928	5722252	18623354	195461	4785226	1059772	69243391	11192092	2784975	3787860	2313802	9635844	0	14179392	0	0	0	2828387	2668333	22959209	2078038	8192600	980395	4132206	4848707	73273253	2795119	4531449	142906	32700788	31960135	6265726	18400065	13875628	3266154	1135176	859972	8187173	12597992	3982569	9151148	5694036	407355	5367304	14380969	15544928	471567	1655080	2807689	13017965	2168945	3787623	677567	5024482	6546653	532721	10973670	9381684	981859	8548216
Anaerobutyricum hallii	2960	0	0	2762	0	0	0	53836	0	13344	0	0	0	0	0	0	17079	0	0	0	0	191407	9269	0	37203	0	52977	0	0	4438	26067	0	0	0	0	0	0	0	1862	0	632	0	0	335974	188080	0	39470	19219	0	0	39794	0	24984	18676	292276	53299	25500	44044	8244	0	81113	4666	0	8615	0	0	0	0	0	4904	0	0	0	0	82137	0	0	17543	0	24426
Bifidobacterium longum	2119	2718170	89774	169771	960196	0	3847641	457400	39003328	2595095	592569	1401777	633004	37959	16802	956	46308	652355	21699	531574	52194	0	1357594	184826	1807302	0	7867832	2697524	1265916	258212	0	0	2078	997180	7425018	0	0	0	0	487137	1035073	0	85455	2246518	5978223	698853	116693	622712	0	27018	770399	138041	371469	3802306	26131	0	3274049	293324	3789339	160852	2097113	0	300	1583150	68848	0	200734	0	56299	0	2648010	0	52041	0	1001530	7288	10721	0	39334	0
Blautia wexlerae	2052	7046	0	2944	12674	0	3809	10728	13859	0	0	0	38326	0	0	15818	9426	0	1552	0	0	18547	28479	0	7910	1704	17058	11385	0	0	13202	67932	0	0	0	0	0	0	3460	0	6634	0	5133	252533	71542	0	0	2731	0	0	25966	0	8164	0	600948	182822	54742	0	0	0	26546	0	2100	0	0	3813	0	11455	0	28094	0	0	0	11975	20534	0	18329	25753	0	0
Actinomyces sp. S6-Spd3	1715	0	0	0	0	53215	15298	0	32750	0	0	0	5316	0	55056	0	0	0	0	59454	0	0	779	0	0	0	0	0	0	0	42004	1031	9282	0	0	0	240807	0	0	0	321	0	0	3452	8477	0	0	0	0	0	0	0	0	0	32023	6188	2682	0	0	0	0	0	0	11262	0	0	36572	0	0	0	0	0	0	0	0	0	0	6542	0	39264
Prevotella sp. CAG:1031	1682	0	0	0	0	0	0	0	0	0	0	0	0	1180202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2775426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	705271	0	0	0
Streptococcus salivarius	1463	0	9013	16069	0	15092	6036	37058	427840	166815	42759	0	1356037	3814	23683	0	0	729	0	0	0	0	3158270	0	0	0	0	0	0	0	742832	0	0	0	0	0	0	1548	0	0	20787	0	0	7035	16057	0	0	0	0	0	0	0	0	6790	703730	127239	7281	0	0	0	122853	8385	0	0	0	0	411	0	0	0	73508	0	0	0	0	0	318929	0	0	307741
Schaalia odontolytica	874	0	0	0	6714	14649	0	0	21231	0	0	0	7579	0	11088	0	0	0	0	113654	0	0	5454	0	0	0	0	0	0	8978	5656	0	0	0	0	5664	0	0	0	0	0	0	0	0	7423	0	0	0	0	0	0	0	0	0	39777	15210	0	0	0	0	15962	0	0	5293	0	0	0	0	0	0	0	0	0	0	0	0	0	1865	0	0
Denitrobacterium detoxificans	858	0	0	0	0	23960	0	0	4225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rothia mucilaginosa	656	0	0	4961	65913	35863	0	1547	117647	0	0	0	483772	0	727603	0	0	0	0	64827	0	0	42798	0	0	0	0	0	0	0	27991	1135	0	0	3191	45171	0	0	0	0	2538	0	0	3141	9877	2057	0	0	0	0	0	0	0	8509	112842	34520	0	0	0	0	0	0	0	0	0	0	2877	0	30511	0	84002	0	0	0	8048	0	3074	829	0	23956
Phocaeicola dorei	0	13807789	81264	0	1279491	1051	1391923	42515	0	2448062	325249	979040	0	1472355	666275	14904278	178060	293322	497450	0	0	80217	16926	0	0	5646014	94522191	13844	1436299	181489	25281614	4176258	0	1445428	0	0	0	127265	5396104	1681380	295159	5236630	0	954758	794310	0	1345	382132	137190	16842127	5250540	1500493	3802667	2028637	0	0	0	0	5329256	85165	0	0	152931	0	1487122	0	3795902	9142518	1192156	6042301	16518	369889	10312000	1603486	1433259	27209	2914	36361046	0	324718
Bacteroides xylanisolvens	0	4380675	76340	440987	5954	0	10594	0	0	18489	0	0	31081	0	0	0	56485	5056	0	0	122680	37685	2903629	0	0	0	421597	0	1164	26060	73760	155447	0	17485	0	0	0	109491	6420	37004	2755	319059	0	8098	10097	0	5881	88425	0	7462	51888	572614	41091	427423	0	0	79938	56831	0	8226	0	198654	44141	0	0	0	0	6684	5298	2415040	45737	45332	0	21916	432650	33326	3835	0	208816	0
Faecalibacterium prausnitzii	0	3705720	15006383	1538999	7409668	83273	79642145	5239655	24144357	5074244	12831615	1678104	10387425	12272989	4621214	6227	9044077	9591915	15022260	25887	110563	3302191	63936312	3142947	3271366	2984300	17593306	32838389	1964990	3310341	940999	14473890	0	18145739	0	0	0	796240	5750211	9507605	15552778	981	1113911	14092109	21211978	18479373	4391615	2981888	0	0	17307365	0	9463566	15258261	13937378	3360577	7326448	3078966	1595374	633951	12094350	23777676	1682091	7611536	12980486	4309500	246349	3832159	756747	1935583	45270809	5716107	2157219	23263558	4729078	403785	10939484	1090615	2450654	17688327
Bacteroides fragilis	0	2820020	0	0	152873	15433	7035	56117	633726	1150601	0	786358	747057	199682	0	0	11678	1084	110449	0	3811920	0	157707	0	3404	216455	0	0	1626096	7160	0	0	0	0	0	0	0	34921	4775637	0	0	1696780	786563	0	0	0	0	96781	7726492	1314520	0	67322	0	0	0	0	0	1104187	2612	18204	0	0	0	13438656	370239	0	1483724	3614	74358	0	0	0	23450303	127827	0	0	44023	0	4175318	0
