model	test_study	data_type	roc_auc	accuracy	recall	f1_score	ppv	npv
LBGM	YachidaS_2019	subspecies	0.7031937984496123	0.6476377952755905	0.7674418604651163	0.688695652173913	0.7674418604651163	0.524
LBGM	YachidaS_2019	subspecies	0.7057829457364341	0.6417322834645669	0.7829457364341085	0.689419795221843	0.7829457364341085	0.496
LBGM	YachidaS_2019	subspecies	0.7067906976744187	0.6594488188976378	0.7790697674418605	0.6991304347826087	0.7790697674418605	0.536
LBGM	YachidaS_2019	subspecies	0.7117209302325582	0.6515748031496063	0.7635658914728682	0.6900175131348512	0.7635658914728682	0.536
LBGM	YachidaS_2019	subspecies	0.7105581395348837	0.6476377952755905	0.7868217054263565	0.694017094017094	0.7868217054263565	0.504
LBGM	ZellerG_2014	subspecies	0.845963501391896	0.7368421052631579	0.8113207547169812	0.7413793103448276	0.8113207547169812	0.6721311475409836
LBGM	ZellerG_2014	subspecies	0.8397772966285184	0.7280701754385965	0.8113207547169812	0.7350427350427351	0.8113207547169812	0.6557377049180327
LBGM	ZellerG_2014	subspecies	0.8354469532941541	0.7368421052631579	0.8113207547169812	0.7413793103448276	0.8113207547169812	0.6721311475409836
LBGM	ZellerG_2014	subspecies	0.838230745437674	0.7543859649122807	0.8490566037735849	0.7627118644067796	0.8490566037735849	0.6721311475409836
LBGM	ZellerG_2014	subspecies	0.8388493659140117	0.7280701754385965	0.8113207547169812	0.7350427350427351	0.8113207547169812	0.6557377049180327
LBGM	ZellerG_2014	subspecies	0.8394679863903495	0.7456140350877193	0.8301886792452831	0.7521367521367521	0.8301886792452831	0.6721311475409836
LBGM	ZellerG_2014	subspecies	0.8391586761521806	0.7280701754385965	0.8113207547169812	0.7350427350427351	0.8113207547169812	0.6557377049180327
LBGM	ZellerG_2014	subspecies	0.8379214351995051	0.7368421052631579	0.8113207547169812	0.7413793103448276	0.8113207547169812	0.6721311475409836
LBGM	ZellerG_2014	subspecies	0.8345190225796474	0.7280701754385965	0.8113207547169812	0.7350427350427351	0.8113207547169812	0.6557377049180327
LBGM	ZellerG_2014	subspecies	0.8400866068666873	0.7280701754385965	0.8113207547169812	0.7350427350427351	0.8113207547169812	0.6557377049180327
LBGM	WirbelJ_2018	subspecies	0.8782742681047766	0.8148148148148148	0.6818181818181818	0.6666666666666666	0.6818181818181818	0.864406779661017
LBGM	WirbelJ_2018	subspecies	0.8736517719568566	0.8518518518518519	0.6818181818181818	0.7142857142857143	0.6818181818181818	0.9152542372881356
LBGM	WirbelJ_2018	subspecies	0.8890600924499229	0.8641975308641975	0.7727272727272727	0.7555555555555555	0.7727272727272727	0.8983050847457628
LBGM	WirbelJ_2018	subspecies	0.8805855161787365	0.8271604938271605	0.7272727272727273	0.6956521739130435	0.7272727272727273	0.864406779661017
LBGM	WirbelJ_2018	subspecies	0.8767334360554699	0.8271604938271605	0.6818181818181818	0.6818181818181818	0.6818181818181818	0.8813559322033898
LBGM	WirbelJ_2018	subspecies	0.8875192604006163	0.8395061728395061	0.7272727272727273	0.7111111111111111	0.7272727272727273	0.8813559322033898
LBGM	WirbelJ_2018	subspecies	0.884437596302003	0.8395061728395061	0.6818181818181818	0.6976744186046512	0.6818181818181818	0.8983050847457628
LBGM	WirbelJ_2018	subspecies	0.8713405238828967	0.8518518518518519	0.7272727272727273	0.7272727272727273	0.7272727272727273	0.8983050847457628
LBGM	WirbelJ_2018	subspecies	0.8751926040061634	0.8518518518518519	0.7272727272727273	0.7272727272727273	0.7272727272727273	0.8983050847457628
LBGM	WirbelJ_2018	subspecies	0.8659476117103236	0.8148148148148148	0.6818181818181818	0.6666666666666666	0.6818181818181818	0.864406779661017
