subspecies	p-adj	Composite	cluster95	phylum
0023001001	0.9999	0.22782978478241034	0023	p__Bacteroidota
0023001002	0.2108	0.37072733520332357	0023	p__Bacteroidota
0024001003	0.5359	0.294469064521844	0024	p__Bacteroidota
0024001004	0.1611	0.4216451849946921	0024	p__Bacteroidota
0027001001	0.0258	0.5708698331271737	0027	p__Firmicutes_A
0027001003	0.2375	0.5103978516104415	0027	p__Firmicutes_A
0030001003	0.2638	0.477446581330756	0030	p__Bacteroidota
0030001004	1.0	0.049826041928653586	0030	p__Bacteroidota
0030001005	1.0	0.0005024261693759514	0030	p__Bacteroidota
0030001006	0.7868	0.2459407866014434	0030	p__Bacteroidota
0030001007	0.0142	0.6957183216502255	0030	p__Bacteroidota
0030001008	1.0	0.008010835044105182	0030	p__Bacteroidota
0031001001	0.8117	0.49417273341563184	0031	p__Firmicutes_A
0031001002	0.1332	0.5163182443664364	0031	p__Firmicutes_A
0031001003	0.0359	0.5509692739341344	0031	p__Firmicutes_A
0033001001	1.0	0.2974330072714959	0033	p__Firmicutes_A
0033001002	1.0	0.16798953544810394	0033	p__Firmicutes_A
0033001004	-0.0	1.0	0033	p__Firmicutes_A
0036001001	0.894	0.47647699227802115	0036	p__Firmicutes_A
0036001002	0.2346	0.351412953021252	0036	p__Firmicutes_A
0036001004	1.0	0.44021352791235263	0036	p__Firmicutes_A
0036001005	0.0222	0.5572229501887755	0036	p__Firmicutes_A
0037001001	0.7679	0.35343514837187606	0037	p__Firmicutes_A
0037001003	0.0002	0.7317693675754211	0037	p__Firmicutes_A
0038001001	0.0222	0.5727352519412542	0038	p__Firmicutes_A
0038001002	0.2942	0.5121611585549004	0038	p__Firmicutes_A
0038001003	0.6082	0.4656706408837606	0038	p__Firmicutes_A
0040001001	1.0	0.297411874923896	0040	p__Firmicutes_A
0040001002	0.1525	0.44596950881938263	0040	p__Firmicutes_A
0040001003	1.0	0.23106348037615448	0040	p__Firmicutes_A
0041001001	0.9343	0.4218554427713419	0041	p__Firmicutes_A
0045001001	0.9999	0.14873659443112913	0045	p__Firmicutes_A
0045001002	0.0091	0.5652567432418761	0045	p__Firmicutes_A
0045001003	0.0001	0.7735475764304677	0045	p__Firmicutes_A
0045001004	0.0344	0.5649881604741341	0045	p__Firmicutes_A
0046001001	0.9999	0.059327715995756085	0046	p__Firmicutes_A
0046001002	0.0002	0.7367243149924173	0046	p__Firmicutes_A
0046001003	0.9999	0.3116084639337364	0046	p__Firmicutes_A
0046001004	-0.0	0.7851124740999792	0046	p__Firmicutes_A
0051001001	0.25	0.33243675994519917	0051	p__Bacteroidota
0051001002	0.0123	0.6460553319031739	0051	p__Bacteroidota
0052001001	0.0801	0.5775020696093099	0052	p__Firmicutes_A
0052001002	0.0023	0.651132778321963	0052	p__Firmicutes_A
0053001001	0.0002	0.7486483795265783	0053	p__Firmicutes_A
0053001002	-0.0	0.7827675715026104	0053	p__Firmicutes_A
0055001001	0.5922	0.4029573649428939	0055	p__Firmicutes_A
0055001003	0.0089	0.5753326406361673	0055	p__Firmicutes_A
0056001001	0.0088	0.5997206363913309	0056	p__Firmicutes_A
0056001002	0.0404	0.518492534472345	0056	p__Firmicutes_A
0057001001	0.8821	0.521300953468274	0057	p__Firmicutes_A
0057001002	0.0017	0.7205215058781653	0057	p__Firmicutes_A
0057001003	-0.0	0.9187084995864109	0057	p__Firmicutes_A
0057001004	0.5888	0.30595369102322206	0057	p__Firmicutes_A
0058001001	1.0	0.001039410687442844	0058	p__Firmicutes_C
0058001002	0.1084	0.4870177967251505	0058	p__Firmicutes_C
0062001001	1.0	0.0003198045784517831	0062	p__Bacteroidota
0062001002	0.6327	0.4588015126617943	0062	p__Bacteroidota
0062001003	0.9638	0.024533575349976616	0062	p__Bacteroidota
0064001001	0.2037	0.48642891918940134	0064	p__Firmicutes_C
0065001001	0.7033	0.33010080369282196	0065	p__Bacteroidota
0065001005	0.0001	0.7668138830286458	0065	p__Bacteroidota
0066001001	0.4107	0.5203631955264136	0066	p__Firmicutes_A
0066001002	0.1738	0.5045900546802791	0066	p__Firmicutes_A
0068001001	0.698	0.28389742512577965	0068	p__Bacteroidota
0068001002	0.3159	0.37526431700737495	0068	p__Bacteroidota
0068001003	0.3035	0.3798018441377108	0068	p__Bacteroidota
0072001002	0.9946	0.12994755119488982	0072	p__Bacteroidota
0072001003	0.3641	0.40615107516642995	0072	p__Bacteroidota
0072001004	1.0	0.003117623846800396	0072	p__Bacteroidota
0073001001	0.9994	0.46160878684092044	0073	p__Firmicutes_A
0073001002	0.7137	0.263838467257487	0073	p__Firmicutes_A
0073001003	0.3621	0.33599555983504953	0073	p__Firmicutes_A
0073001004	0.5583	0.33858378613069096	0073	p__Firmicutes_A
0076001001	0.6489	0.23744493836849806	0076	p__Firmicutes_A
0076001004	-0.0	0.8077135697745843	0076	p__Firmicutes_A
0079001001	1.0	0.15744024324922698	0079	p__Firmicutes_A
0079001002	1.0	0.0013353281879527213	0079	p__Firmicutes_A
0079001003	0.8082	0.13156566042919113	0079	p__Firmicutes_A
0083001001	1.0	0.0003154047019066999	0083	p__Firmicutes_A
0083001002	0.9603	0.1313057090743554	0083	p__Firmicutes_A
0083001003	1.0	0.11981620388835225	0083	p__Firmicutes_A
0083001005	1.0	0.15744032058632335	0083	p__Firmicutes_A
0084001001	1.0	0.17457642689215547	0084	p__Firmicutes_A
0084001002	0.9976	0.18381872212861736	0084	p__Firmicutes_A
0084001003	0.0359	0.5770483687462434	0084	p__Firmicutes_A
0084001005	0.9995	0.3759764551344217	0084	p__Firmicutes_A
0085001001	0.0	0.8242492677918447	0085	p__Firmicutes_A
0086001001	0.1688	0.46860752922782756	0086	p__Firmicutes_A
0086001002	0.0347	0.5021594941283674	0086	p__Firmicutes_A
0088001001	0.0027	0.6807476849391558	0088	p__Firmicutes_A
0088001002	0.6838	0.41895730209819476	0088	p__Firmicutes_A
0088001003	0.7831	0.2630662760933694	0088	p__Firmicutes_A
0088001004	0.3191	0.5772711415841256	0088	p__Firmicutes_A
0088001005	0.4186	0.3669809188946417	0088	p__Firmicutes_A
0088001006	0.3023	0.375441111829522	0088	p__Firmicutes_A
0088001007	1.0	0.060021853703343425	0088	p__Firmicutes_A
0089001001	1.0	0.011231845681181959	0089	p__Bacteroidota
0089001002	0.1583	0.44563369116035373	0089	p__Bacteroidota
0089001003	0.1076	0.4548052453024678	0089	p__Bacteroidota
0092001001	1.0	0.1269334339226352	0092	p__Actinobacteriota
0092001002	0.0005	0.6957111050129212	0092	p__Actinobacteriota
0092001003	1.0	0.045459629483459656	0092	p__Actinobacteriota
0092001004	1.0	0.09053016192979912	0092	p__Actinobacteriota
0093001001	1.0	0.14173589069202783	0093	p__Firmicutes_A
0093001002	0.9449	0.6173319463966562	0093	p__Firmicutes_A
0093001003	0.8724	0.37792129790408496	0093	p__Firmicutes_A
0095001001	0.9167	0.43449954511013966	0095	p__Firmicutes_A
0095001002	0.4462	0.31969984772092364	0095	p__Firmicutes_A
0095001004	1.0	0.10634945658119314	0095	p__Firmicutes_A
0095001005	1.0	0.028643268511404918	0095	p__Firmicutes_A
0095001006	1.0	0.13583110849231922	0095	p__Firmicutes_A
0097001001	0.0	0.863824670276753	0097	p__Firmicutes_A
0097001002	0.0008	0.6707744229613825	0097	p__Firmicutes_A
0099001001	-0.0	0.8708977223605149	0099	p__Firmicutes_A
0101001001	-0.0	0.865996132750713	0101	p__Firmicutes_A
0101001003	0.0	0.8569531055160129	0101	p__Firmicutes_A
0102001002	0.0605	0.5482059703222243	0102	p__Firmicutes_A
0103001001	1.0	0.2079752655387844	0103	p__Firmicutes_A
0103001003	0.0038	0.6275429933059951	0103	p__Firmicutes_A
0104001001	0.1934	0.5243131629075151	0104	p__Firmicutes_A
0104001002	0.1129	0.5382669428933511	0104	p__Firmicutes_A
0105001001	0.036	0.5265131125758856	0105	p__Firmicutes_A
0105001002	0.5914	0.4805752770840676	0105	p__Firmicutes_A
0107001001	1.0	0.13516164341705864	0107	p__Proteobacteria
0108001001	0.8088	0.2799846952666907	0108	p__Firmicutes_A
0108001002	0.5907	0.5101450186616258	0108	p__Firmicutes_A
0108001003	0.12	0.5986129584613691	0108	p__Firmicutes_A
0109001001	0.0061	0.6710333398792422	0109	p__Bacteroidota
0109001002	1.0	0.011751652712780045	0109	p__Bacteroidota
0110001001	0.9818	0.03977949202829118	0110	p__Bacteroidota
0110001002	0.0029	0.6806857938525225	0110	p__Bacteroidota
0110001003	0.9994	0.027938635653059242	0110	p__Bacteroidota
0110001004	0.7451	0.22982268175922416	0110	p__Bacteroidota
0110001005	1.0	0.06924992355761465	0110	p__Bacteroidota
0111001001	0.0043	0.6953734282447862	0111	p__Firmicutes_A
0111001002	-0.0	0.8503267292745227	0111	p__Firmicutes_A
0113001001	0.0009	0.6803853619004223	0113	p__Firmicutes_A
0113001002	0.0016	0.6867329309497471	0113	p__Firmicutes_A
0113001003	0.0041	0.6517923793929892	0113	p__Firmicutes_A
0115001001	0.0074	0.6394751726600737	0115	p__Firmicutes_A
0115001002	0.005	0.649312199813223	0115	p__Firmicutes_A
0115001003	0.0	0.8630848905085935	0115	p__Firmicutes_A
0119001001	0.0008	0.6808349245082916	0119	p__Firmicutes_A
0120001002	0.804	0.1916718267126313	0120	p__Firmicutes_A
0121001001	0.0365	0.5426718059747822	0121	p__Firmicutes_A
0121001002	0.0008	0.6877165944865125	0121	p__Firmicutes_A
0122001001	0.0294	0.5323040354939071	0122	p__Firmicutes_A
0122001002	0.2956	0.47994659970589604	0122	p__Firmicutes_A
0122001003	0.0902	0.48671719242694295	0122	p__Firmicutes_A
0124001001	0.0123	0.5956083776401823	0124	p__Actinobacteriota
0125001001	0.0797	0.502291869240542	0125	p__Firmicutes_A
0127001001	0.8375	0.191152057079822	0127	p__Firmicutes_A
0127001002	1.0	0.15762084781691407	0127	p__Firmicutes_A
0128001001	0.0089	0.5892765659179561	0128	p__Firmicutes_A
0128001002	0.0019	0.6965379623849169	0128	p__Firmicutes_A
0130001001	0.1851	0.5215865103157031	0130	p__Firmicutes_A
0130001002	0.1747	0.5580327756246176	0130	p__Firmicutes_A
0130001003	0.0	0.7813239284670226	0130	p__Firmicutes_A
0131001001	0.1769	0.5063103656724678	0131	p__Firmicutes_A
0132001001	0.069	0.46954882050175645	0132	p__Firmicutes_A
0132001002	0.4409	0.4731508150180602	0132	p__Firmicutes_A
0132001003	0.7697	0.3258277304751332	0132	p__Firmicutes_A
0132001005	1.0	0.011485503411419361	0132	p__Firmicutes_A
0132001007	0.9999	0.22514591804658432	0132	p__Firmicutes_A
0132001008	0.0057	0.6118593390223075	0132	p__Firmicutes_A
0133001001	0.6326	0.3305891539943121	0133	p__Firmicutes_A
0134001001	1.0	0.28750196139230944	0134	p__Bacteroidota
0134001002	1.0	0.12601516196397827	0134	p__Bacteroidota
0134001003	0.6231	0.40302406562661136	0134	p__Bacteroidota
0135001001	0.282	0.3405186090485533	0135	p__Firmicutes_A
0136001001	0.0	0.8139030449860541	0136	p__Firmicutes_A
0136001003	1.0	0.02606187743808644	0136	p__Firmicutes_A
0136001004	0.2919	0.33462399614611565	0136	p__Firmicutes_A
0139001001	1.0	0.15786827921732594	0139	p__Firmicutes_A
0139001002	1.0	0.2826897587369626	0139	p__Firmicutes_A
0139001003	0.0053	0.6068163139416415	0139	p__Firmicutes_A
0139001004	0.6799	0.2145958340032238	0139	p__Firmicutes_A
0141001001	0.0176	0.5645176635546654	0141	p__Firmicutes_A
0143001001	0.4383	0.35746521830143996	0143	p__Firmicutes_A
0144001001	0.0001	0.7655526355407668	0144	p__Firmicutes_A
0144001003	0.0003	0.7395871511083432	0144	p__Firmicutes_A
0146001001	1.0	0.12155680513222794	0146	p__Firmicutes_A
0146001002	0.1218	0.48201001069991545	0146	p__Firmicutes_A
0148001001	0.0023	0.6592503274581458	0148	p__Firmicutes_A
0150001001	0.0174	0.5460470040765799	0150	p__Firmicutes_A
0151001001	1.0	0.03666868624612168	0151	p__Firmicutes_A
0151001002	0.292	0.36601847141129734	0151	p__Firmicutes_A
0153001002	0.6986	0.30231829053893783	0153	p__Firmicutes_A
0153001003	0.061	0.45070707706957	0153	p__Firmicutes_A
0153001004	0.0105	0.5879740399232741	0153	p__Firmicutes_A
0154001001	-0.0	0.8460482373648168	0154	p__Bacteroidota
0154001002	0.0052	0.5978106814851132	0154	p__Bacteroidota
0155001001	0.8453	0.24485300265705276	0155	p__Firmicutes_C
0156001001	0.0003	0.7374376577824858	0156	p__Firmicutes_A
0157001001	1.0	0.14609308712788455	0157	p__Firmicutes_A
0157001002	0.9865	0.08133806847710844	0157	p__Firmicutes_A
0157001003	-0.0	0.7735765556603121	0157	p__Firmicutes_A
0158001001	0.9999	0.143079458889154	0158	p__Actinobacteriota
0158001002	0.1524	0.36439803145091265	0158	p__Actinobacteriota
0158001003	0.9998	0.28479568291973284	0158	p__Actinobacteriota
0160001001	0.3832	0.4418931165444973	0160	p__Firmicutes_A
0160001002	0.0001	0.7613812945118106	0160	p__Firmicutes_A
0161001001	0.9997	0.01712168630281574	0161	p__Bacteroidota
0161001002	0.4584	0.36922323965803855	0161	p__Bacteroidota
0161001003	0.0303	0.6620919149827499	0161	p__Bacteroidota
0162001001	0.01	0.564511308818646	0162	p__Firmicutes_A
0163001001	-0.0	0.7532067227926744	0163	p__Bacteroidota
0163001004	0.2705	0.6768076278095133	0163	p__Bacteroidota
0163001005	0.9986	0.4771674496273559	0163	p__Bacteroidota
0163001006	0.1579	0.35980448248252406	0163	p__Bacteroidota
0166001001	1.0	0.012826360365113972	0166	p__Firmicutes
0170001001	1.0	0.10173238161893422	0170	p__Firmicutes_A
0170001003	0.0086	0.6280891493514973	0170	p__Firmicutes_A
0170001004	0.0037	0.6265158414741334	0170	p__Firmicutes_A
0170001006	1.0	0.21886708136960414	0170	p__Firmicutes_A
0173001001	0.962	0.059237085209033376	0173	p__Firmicutes_A
0173001002	1.0	0.12388044622581237	0173	p__Firmicutes_A
0174001001	0.0377	0.5753983446037645	0174	p__Firmicutes_A
0174001002	0.3809	0.47887583054124244	0174	p__Firmicutes_A
0174001003	0.549	0.3295696393918077	0174	p__Firmicutes_A
0176001001	0.1482	0.48017996240295446	0176	p__Firmicutes_A
0177001001	1.0	0.19119031930128746	0177	p__Actinobacteriota
0177001002	1.0	0.206721383110716	0177	p__Actinobacteriota
0177001003	0.0329	0.5676925245391703	0177	p__Actinobacteriota
0178001001	0.6799	0.34228683723795816	0178	p__Firmicutes_A
0178001002	1.0	0.09215863583409818	0178	p__Firmicutes_A
0178001004	0.2064	0.3971175671218341	0178	p__Firmicutes_A
0181001001	0.9401	0.36696126438772547	0181	p__Firmicutes_A
0182001002	0.7081	0.2237291323484119	0182	p__Firmicutes_A
0183001001	0.7245	0.3849902496677481	0183	p__Bacteroidota
0183001002	0.6205	0.38355427050180085	0183	p__Bacteroidota
0183001003	-0.0	0.8366884830963309	0183	p__Bacteroidota
0184001001	-0.0	0.8260892501459038	0184	p__Firmicutes_A
0187001001	0.5638	0.2825367864844447	0187	p__Bacteroidota
0188001001	0.4921	0.282239335300571	0188	p__Firmicutes_A
0191001001	0.1341	0.5394147342498824	0191	p__Actinobacteriota
0192001001	0.0	0.8715269119213725	0192	p__Bacteroidota
0196001001	0.9999	0.5018282588806967	0196	p__Firmicutes_A
0196001002	0.015	0.5998278901829699	0196	p__Firmicutes_A
0199001001	1.0	0.02897422555624032	0199	p__Firmicutes
0199001002	1.0	0.2337977040368746	0199	p__Firmicutes
0200001001	0.0	0.8178377291456513	0200	p__Firmicutes_A
0201001001	1.0	0.0076452922533748	0201	p__Bacteroidota
0201001002	1.0	1.3955001610254554e-05	0201	p__Bacteroidota
0202001001	0.0623	0.4511576719834445	0202	p__Firmicutes_A
0202001002	0.0344	0.5845004693672634	0202	p__Firmicutes_A
0203001001	0.7525	0.27481920461404863	0203	p__Firmicutes_A
0203001002	0.0	0.7951110324656627	0203	p__Firmicutes_A
0204001001	0.0	0.8377768841095121	0204	p__Firmicutes_A
0204001003	-0.0	0.8017206311928251	0204	p__Firmicutes_A
0206001002	0.8221	0.22046869801213934	0206	p__Firmicutes
0206001003	0.9827	0.11693554212127572	0206	p__Firmicutes
0208001001	0.9994	0.20047876098211143	0208	p__Actinobacteriota
0208001003	0.0329	0.4785137918805466	0208	p__Actinobacteriota
0208001004	0.7187	0.24382859176153243	0208	p__Actinobacteriota
0209001002	0.989	0.05498697239504625	0209	p__Firmicutes_A
0209001003	1.0	0.00564579138100246	0209	p__Firmicutes_A
0209001004	0.8811	0.356835122248787	0209	p__Firmicutes_A
0209001005	1.0	0.09053016192979912	0209	p__Firmicutes_A
0213001001	0.0267	0.5188879121626171	0213	p__Firmicutes_A
0214001001	-0.0	0.7978898270817976	0214	p__Bacteroidota
0216001001	0.0159	0.5734644995045265	0216	p__Firmicutes_A
0216001002	0.2656	0.411820014694435	0216	p__Firmicutes_A
0216001003	0.0084	0.5518164979693339	0216	p__Firmicutes_A
0216001004	0.9967	0.04730266897579099	0216	p__Firmicutes_A
0218001001	0.0694	0.5230892211970811	0218	p__Firmicutes_A
0219001001	1.0	0.1467695524329931	0219	p__Proteobacteria
0219001002	0.1454	0.48302174935179404	0219	p__Proteobacteria
0220001001	0.0417	0.5605356757472845	0220	p__Firmicutes_A
0220001002	0.6123	0.4245087372888719	0220	p__Firmicutes_A
0221001002	0.9448	0.1212250798037476	0221	p__Bacteroidota
0221001003	0.0189	0.5850995565542658	0221	p__Bacteroidota
0224001001	0.0001	0.7600381076926955	0224	p__Firmicutes_A
0224001002	-0.0	0.7932502390468271	0224	p__Firmicutes_A
0225001001	0.1367	0.49747246680926877	0225	p__Firmicutes_A
0226001001	1.0	0.06590335838188105	0226	p__Firmicutes_A
0226001002	0.1769	0.47482592760049275	0226	p__Firmicutes_A
0229001001	0.0001	0.7714134832898515	0229	p__Firmicutes_A
0230001001	0.0118	0.5987153719054116	0230	p__Firmicutes_A
0230001002	1.0	0.29830924857734403	0230	p__Firmicutes_A
0231001001	1.0	0.38539062534875446	0231	p__Firmicutes_A
0231001003	1.0	0.00037369225720765926	0231	p__Firmicutes_A
0231001004	1.0	0.12061823482698691	0231	p__Firmicutes_A
0231001005	1.0	0.013306415116878106	0231	p__Firmicutes_A
0231001007	1.0	0.1421858865838662	0231	p__Firmicutes_A
0232001001	0.0058	0.6302993882748528	0232	p__Firmicutes_A
0233001001	0.9999	0.28217975237217063	0233	p__Bacteroidota
0233001002	0.997	0.3063161863314185	0233	p__Bacteroidota
0236001002	0.0	0.8000889841602989	0236	p__Firmicutes_A
0239001001	0.0006	0.7127118642103386	0239	p__Firmicutes_A
0240001001	1.0	0.04607129460079868	0240	p__Firmicutes_A
0240001002	0.9981	0.13809257558610064	0240	p__Firmicutes_A
0240001003	0.7577	0.1962308671619332	0240	p__Firmicutes_A
0240001004	1.0	0.021708814336050593	0240	p__Firmicutes_A
0240001006	0.9948	0.24444257577468995	0240	p__Firmicutes_A
0240001007	0.997	0.04341583142381161	0240	p__Firmicutes_A
0240001008	1.0	0.10716169952657974	0240	p__Firmicutes_A
0241001001	0.0006	0.7341816056847067	0241	p__Bacteroidota
0241001002	0.9083	0.18639083769810158	0241	p__Bacteroidota
0242001001	0.0968	0.5040557094969033	0242	p__Firmicutes_A
0243001001	0.9981	0.1925801339619831	0243	p__Firmicutes_A
0243001002	0.9999	0.2940676782402415	0243	p__Firmicutes_A
0243001003	0.9313	0.23377471428228397	0243	p__Firmicutes_A
0246001001	0.9943	0.47464420107726196	0246	p__Actinobacteriota
0246001002	0.0117	0.5964489592857155	0246	p__Actinobacteriota
0248001002	-0.0	0.7816757369369671	0248	p__Bacteroidota
0250001001	0.08	0.48811944936834817	0250	p__Firmicutes_A
0253001001	0.8759	0.2469691699788063	0253	p__Firmicutes_A
0253001002	0.0055	0.6384579471287507	0253	p__Firmicutes_A
0254001001	0.6571	0.23852421286072117	0254	p__Firmicutes_A
0254001002	0.9999	0.07262875583361462	0254	p__Firmicutes_A
0255001001	-0.0	0.9181328823727791	0255	p__Firmicutes_A
0255001003	0.0	0.8870109171752741	0255	p__Firmicutes_A
0256001001	0.9999	0.05662583235431905	0256	p__Firmicutes_A
0256001002	0.9975	0.018385219568941513	0256	p__Firmicutes_A
0257001001	0.9916	0.17108997162175132	0257	p__Bacteroidota
0261001001	0.867	0.35478702386351146	0261	p__Firmicutes_A
0262001001	0.1988	0.5049946962200992	0262	p__Bacteroidota
0262001002	1.0	1.9688850553731032e-05	0262	p__Bacteroidota
0262001003	1.0	0.1531183275044813	0262	p__Bacteroidota
0262001004	1.0	0.06990734018212715	0262	p__Bacteroidota
0264001002	0.0331	0.54879341469821	0264	p__Actinobacteriota
0266001001	1.0	0.32197923700214615	0266	p__Firmicutes_A
0266001002	0.9379	0.05390248634769064	0266	p__Firmicutes_A
0268001001	0.9895	0.20466006521796992	0268	p__Firmicutes_C
0268001002	0.9998	0.3362782239483932	0268	p__Firmicutes_C
0269001002	0.9152	0.2563817451488841	0269	p__Firmicutes_A
0269001003	0.1333	0.4670099620703959	0269	p__Firmicutes_A
0271001001	0.9988	0.038220678676143156	0271	p__Bacteroidota
0271001002	0.9955	0.13096581973339227	0271	p__Bacteroidota
0273001001	0.9999	0.14690699926302384	0273	p__Firmicutes_A
0276001001	0.3636	0.3384526818280532	0276	p__Firmicutes_A
0276001002	0.9983	0.14563082238432673	0276	p__Firmicutes_A
0279001001	1.0	0.1574440903600504	0279	p__Firmicutes_A
0279001002	0.9776	0.14926091896982838	0279	p__Firmicutes_A
0279001003	0.9743	0.1140398218138281	0279	p__Firmicutes_A
0281001001	0.0069	0.5655242878473825	0281	p__Firmicutes_A
0282001001	0.3914	0.4264147775424766	0282	p__Firmicutes_A
0282001002	0.3604	0.5250515029759125	0282	p__Firmicutes_A
0283001001	0.1326	0.5354172424136665	0283	p__Actinobacteriota
0285001001	0.0011	0.6975756346067657	0285	p__Firmicutes_A
0285001002	-0.0	0.8789017018649936	0285	p__Firmicutes_A
0285001003	0.0277	0.559371933383276	0285	p__Firmicutes_A
0290001001	0.0294	0.5411998256472955	0290	p__Actinobacteriota
0291001001	1.0	0.38215991112892356	0291	p__Firmicutes_A
0291001004	0.4244	0.3369034711213813	0291	p__Firmicutes_A
0291001005	0.509	0.3449976862769498	0291	p__Firmicutes_A
0293001001	0.6502	0.3089489780792159	0293	p__Firmicutes_A
0293001002	0.9509	0.19445954128591103	0293	p__Firmicutes_A
0295001001	0.0452	0.5385711533138652	0295	p__Actinobacteriota
0296001003	0.0003	0.7330923608648094	0296	p__Firmicutes_A
0298001001	0.6492	0.2724529605984987	0298	p__Firmicutes_A
0298001002	0.4188	0.36113872814826975	0298	p__Firmicutes_A
0301001001	1.0	0.31942340784761547	0301	p__Firmicutes_A
0301001002	0.2489	0.37556614614342915	0301	p__Firmicutes_A
0303001001	0.9629	0.30108129569613834	0303	p__Bacteroidota
0306001001	1.0	0.24846992802902626	0306	p__Actinobacteriota
0306001002	0.0389	0.5207657375723072	0306	p__Actinobacteriota
0306001003	1.0	0.09053016192979912	0306	p__Actinobacteriota
0306001004	1.0	0.08616133406060875	0306	p__Actinobacteriota
0309001001	1.0	0.11996453798225683	0309	p__Firmicutes_A
0310001001	1.0	0.04062375616435615	0310	p__Firmicutes
0310001002	0.2253	0.45548587421174747	0310	p__Firmicutes
0310001003	0.651	0.5720225422286412	0310	p__Firmicutes
0311001001	0.1005	0.47200159280233583	0311	p__Firmicutes_A
0311001002	0.0	0.8456854333108657	0311	p__Firmicutes_A
0312001001	0.9992	0.18091325668838468	0312	p__Firmicutes_A
0313001001	0.0437	0.5601028339421975	0313	p__Firmicutes_A
0313001002	0.0638	0.5208528725131263	0313	p__Firmicutes_A
0313001003	0.2144	0.43796980269457786	0313	p__Firmicutes_A
0313001005	0.4646	0.44912971969131316	0313	p__Firmicutes_A
0314001001	0.0614	0.5438942726657048	0314	p__Actinobacteriota
0315001001	1.0	0.046633124579591026	0315	p__Firmicutes
0315001002	1.0	0.11893678108161247	0315	p__Firmicutes
0315001004	0.5573	0.3407919615156725	0315	p__Firmicutes
0315001006	0.3713	0.2625230372088218	0315	p__Firmicutes
0316001001	0.9998	0.23435869683605717	0316	p__Actinobacteriota
0316001002	0.7462	0.3862375640334423	0316	p__Actinobacteriota
0316001003	0.3281	0.3877570177175795	0316	p__Actinobacteriota
0316001004	0.0053	0.5630299783542396	0316	p__Actinobacteriota
0316001005	0.1576	0.43846535308010076	0316	p__Actinobacteriota
0317001002	0.0013	0.6825180273464276	0317	p__Bacteroidota
0318001001	0.984	0.301522511015358	0318	p__Firmicutes_C
0320001001	0.0525	0.5214298308567114	0320	p__Actinobacteriota
0322001001	0.2192	0.4202995538740897	0322	p__Firmicutes_A
0322001002	0.4888	0.3778264892315637	0322	p__Firmicutes_A
0322001003	0.0382	0.5521679948345085	0322	p__Firmicutes_A
0322001005	1.0	0.15745411932559725	0322	p__Firmicutes_A
0322001006	1.0	0.18367679232098633	0322	p__Firmicutes_A
0322001009	0.0913	0.5238416591039085	0322	p__Firmicutes_A
